Year,Age,School,Height,Weight,Sprint_40yd,Vertical_Jump,Bench_Press_Reps,Broad_Jump,Agility_3cone,Shuttle,Player_Type,Position_Type,Position,Drafted,y_pred,Id
2018,22.0,South Carolina St.,1.8796,106.1406146,4.7,83.50634934889987,17.0,291.9857,7.230447266703479,4.399422150882825,0,4,11,1.0,1.0,1135
2016,22.0,Memphis,2.0066,110.6765383,4.86,91.44,20.23640776699029,299.72,7.14,4.26,1,0,14,1.0,1.0,2493
2011,21.0,Boise St.,1.7526,85.72895793,4.5,85.09,13.0,289.56,6.66,4.12,0,1,1,1.0,1.0,803
2013,21.0,Georgia,1.8288,96.61517481,4.46,91.44,25.0,304.8,7.01,4.25,0,1,17,1.0,1.0,961
2013,23.0,Florida St.,1.8034,102.965468,4.7,76.2,17.0,289.56,7.28,4.55,1,0,5,0.0,0.0,1961
2011,22.0,Mississippi St.,1.905,126.0986789,4.91,72.39,20.0,271.78,7.13,4.59,0,2,3,1.0,1.0,1421
2012,21.0,Miami (FL),1.8034,104.7798375,4.66,85.09,12.0,302.26,7.46,4.28,0,4,11,1.0,1.0,998
2016,21.997016197783463,Iowa,1.8542,89.35769689,4.61,83.50634934889987,20.23640776699029,291.9857,7.230447266703479,4.399422150882825,2,3,8,0.0,0.0,1576
2018,21.997016197783463,South Carolina,1.8796,141.5208194,5.28,59.69,18.0,256.54,7.95,4.75,0,2,4,0.0,0.0,415
2012,21.997016197783463,USC,1.8542,109.3157612,4.73,74.93,19.0,271.78,6.9,4.1,0,4,7,0.0,0.0,1593
2019,21.997016197783463,Missouri,1.9812,143.7887813,5.18,68.58,16.0,261.62,7.68,4.74,1,5,12,0.0,0.0,1909
2014,22.0,Stanford,1.8542,93.89362059,4.57,82.55,15.0,297.18,7.230447266703479,4.399422150882825,0,1,6,1.0,1.0,847
2010,21.997016197783463,Michigan,1.8288,97.06876718,4.59,83.50634934889987,20.23640776699029,291.9857,7.230447266703479,4.399422150882825,1,0,15,0.0,0.0,495
2010,21.997016197783463,Wake Forest,1.8288,97.06876718,5.05,76.2,20.23640776699029,256.54,7.04,4.29,1,0,14,0.0,0.0,1598
2009,21.997016197783463,Kent St.,1.9304,136.9848957,5.29,83.50634934889987,21.0,198.12,7.230447266703479,4.399422150882825,1,5,12,0.0,0.0,695
2011,22.0,Hawaii,1.8288,102.0582833,4.45,86.36,20.0,289.56,6.91,4.15,1,0,15,1.0,1.0,2092
2013,21.0,USC,1.7018,76.65711053,4.53,95.25,10.0,322.58,6.74,4.09,0,1,1,0.0,0.0,322
2016,23.0,South Carolina,1.9558,112.0373154,4.64,82.55,20.23640776699029,297.18,7.05,4.31,1,0,18,1.0,1.0,2296
2009,21.997016197783463,Michigan St.,1.9304,135.1705263,4.88,64.77,28.0,269.24,8.18,4.87,0,2,4,0.0,0.0,367
2014,21.997016197783463,South Florida,1.9304,117.9340162,4.95,69.85,17.0,276.86,7.230447266703479,4.399422150882825,0,2,3,0.0,0.0,567
2019,22.0,Oklahoma,1.7526,96.61517481,4.764817905918058,83.50634934889987,20.23640776699029,291.9857,7.230447266703479,4.399422150882825,2,3,8,1.0,1.0,2229
2017,23.0,Miami (FL),1.8542,97.06876718,4.51,93.98,19.0,325.12,7.230447266703479,4.399422150882825,0,1,6,1.0,1.0,1431
2010,24.0,Kentucky,1.8034,83.00740371,4.51,97.79,9.0,294.64,6.81,4.27,0,1,1,1.0,1.0,544
2019,21.0,Georgia,1.8034,87.54332741,4.52,83.50634934889987,14.0,299.72,7.230447266703479,4.399422150882825,0,1,1,1.0,1.0,1859
2018,21.997016197783463,Southern Miss,1.8542,96.16158244,4.56,86.36,13.0,312.42,7.230447266703479,4.399422150882825,1,0,19,0.0,0.0,1960
2017,21.0,Ohio St.,1.8288,88.45051215,4.44,93.98,11.0,327.66,6.68,4.18,0,1,1,1.0,1.0,2441
2011,22.0,Connecticut,1.8542,111.583723,4.8,81.28,22.0,276.86,7.17,4.46,0,4,7,1.0,1.0,1742
2016,21.997016197783463,Cincinnati,1.8542,86.1825503,4.54,80.01,8.0,312.42,7.230447266703479,4.399422150882825,1,0,19,0.0,0.0,1097
2016,21.0,California,1.9304,97.52235955,4.82,68.58,20.23640776699029,279.4,7.17,4.47,1,0,14,1.0,1.0,978
2010,22.0,Penn St.,1.9558,137.8920805,5.03,73.66,26.0,269.24,7.22,4.59,0,2,4,1.0,1.0,821
2016,21.0,Florida,1.8542,92.07925111,4.59,87.63,20.23640776699029,312.42,6.77,4.19,1,0,19,1.0,1.0,1508
2014,22.0,North Carolina St.,1.8796,90.718474,4.41,97.79,12.0,314.96,6.82,4.24,0,1,1,1.0,1.0,1011
2017,21.0,Houston,1.8542,83.46099608,4.57,85.09,20.23640776699029,302.26,6.68,3.94,0,1,1,1.0,1.0,2242
2009,24.0,Louisville,1.8542,135.1705263,5.18,81.28,31.0,266.7,7.68,4.72,0,2,4,0.0,1.0,1362
2010,22.0,East Carolina,1.905,141.9744118,5.1,81.28,30.0,254.0,7.83,4.64,0,2,4,0.0,1.0,1792
2014,22.0,Wisconsin,1.8034,112.4909078,4.83,78.74,27.0,289.56,7.18,4.27,0,4,7,1.0,0.0,1770
2018,22.0,Central Michigan,1.905,115.212462,4.8,96.52,18.0,304.8,7.13,4.23,1,0,18,1.0,0.0,1830
2010,22.0,Troy,1.905,103.8726527,4.93,80.01,20.0,269.24,7.07,4.43,1,0,14,1.0,1.0,705
2016,24.0,East Carolina,1.8796,101.1510985,4.61,86.36,18.0,312.42,7.15,4.47,0,4,11,0.0,1.0,2581
2013,22.0,Texas,1.9304,119.7483857,4.78,83.50634934889987,21.0,291.9857,7.230447266703479,4.399422150882825,0,2,3,1.0,1.0,999
2015,22.0,Mississippi St.,1.7272,98.42954429,4.7,81.28,21.0,287.02,7.230447266703479,4.399422150882825,1,0,15,1.0,0.0,2653
2009,21.0,Auburn,1.7526,85.27536556,4.43,92.71,15.0,309.88,7.09,4.08,0,1,1,1.0,0.0,2690
2016,22.0,Florida,1.9812,108.4085764,4.8,87.63,20.23640776699029,325.12,7.01,4.0,0,2,3,1.0,1.0,393
2016,21.997016197783463,Oregon,1.8034,90.718474,4.83,74.93,20.23640776699029,289.56,6.82,4.2,1,0,14,0.0,0.0,2413
2017,21.0,Temple,1.778,86.1825503,4.62,81.28,11.0,294.64,7.230447266703479,4.399422150882825,1,0,15,0.0,0.0,298
2014,21.997016197783463,SMU,1.7526,93.89362059,4.75,81.28,20.0,287.02,7.07,4.399422150882825,1,0,15,0.0,0.0,194
2014,22.0,BYU,1.905,110.2229459,4.71,82.55,21.0,284.48,7.22,4.2,0,4,11,1.0,1.0,318
2010,22.0,Rutgers,1.8034,87.54332741,4.38,91.44,16.0,320.04,6.7,4.07,0,1,1,1.0,1.0,2001
2010,22.0,Arizona,1.8796,134.2633415,4.75,72.39,25.0,271.78,7.68,4.55,0,2,4,1.0,1.0,1732
2014,23.0,Miami (FL),1.9304,99.7903214,4.64,77.47,23.0,304.8,7.230447266703479,4.399422150882825,2,3,13,1.0,0.0,2240
2015,22.0,USC,1.8288,91.17206637,4.44,95.25,26.0,330.2,7.01,4.12,0,1,1,1.0,1.0,1791
2014,22.0,Duke,1.8288,86.63614267,4.56,92.71,10.0,309.88,7.28,4.32,0,1,1,1.0,1.0,2401
2018,21.0,Virginia Tech,1.8796,99.7903214,4.47,105.41,20.23640776699029,340.36,7.230447266703479,4.399422150882825,0,1,16,1.0,1.0,32
2019,22.0,Missouri,1.9304,103.4190604,4.69,78.74,20.23640776699029,284.48,7.03,4.12,1,0,14,1.0,0.0,141
2010,21.0,Georgia,1.8542,132.9025644,4.75,83.82,34.0,297.18,7.33,4.43,0,2,4,1.0,1.0,67
2010,21.0,Auburn,1.8034,99.7903214,4.34,102.87,26.0,314.96,6.91,4.12,1,0,15,1.0,1.0,2184
2014,21.0,North Carolina,1.8288,92.53284348,4.58,88.9,18.0,294.64,7.04,4.31,0,1,17,1.0,1.0,1627
2016,22.0,Nebraska,1.9304,149.2318897,5.19,73.66,17.0,279.4,8.03,4.59,0,2,4,1.0,1.0,2780
2010,22.0,Northwestern,1.905,102.0582833,4.93,81.28,20.23640776699029,279.4,6.96,4.37,1,0,14,1.0,1.0,2736
2010,21.997016197783463,Arizona St.,1.8542,91.17206637,4.52,101.6,19.0,309.88,7.230447266703479,4.21,1,0,19,0.0,0.0,2412
2009,23.0,Penn St.,1.778,82.55381134,4.31,87.63,12.0,299.72,7.01,4.48,1,0,19,1.0,1.0,1029
2012,22.0,Nevada,1.8542,109.3157612,4.6,93.98,23.0,314.96,7.34,4.37,0,4,7,1.0,1.0,1657
2012,23.0,South Carolina,1.8542,95.2543977,4.58,86.36,17.0,299.72,7.02,4.25,0,1,17,1.0,0.0,651
2009,21.0,North Carolina,2.032,140.1600423,5.32,55.88,19.0,238.76,7.87,4.88,1,5,12,1.0,1.0,2114
2014,23.0,Stanford,1.9304,111.583723,4.87,83.82,20.23640776699029,276.86,7.04,4.35,1,0,5,0.0,1.0,1726
2017,22.0,Charlotte,1.905,138.3456729,4.97,81.28,26.0,294.64,7.55,4.75,0,2,3,1.0,1.0,1247
2019,21.0,Oklahoma,1.7526,75.29633342,4.764817905918058,83.50634934889987,20.23640776699029,291.9857,7.230447266703479,4.399422150882825,1,0,19,1.0,1.0,331
2011,22.0,Mississippi St.,1.905,108.8621688,4.65,86.36,17.0,292.1,6.95,4.25,0,4,7,1.0,1.0,2724
2012,22.0,Stanford,1.9304,106.1406146,4.59,91.44,20.23640776699029,314.96,6.8,4.28,1,0,14,1.0,1.0,1397
2011,22.0,Michigan,1.9304,139.70645,5.18,64.77,30.0,248.92,7.73,4.62,1,5,10,1.0,1.0,1368
2013,21.0,Alabama,1.8288,91.17206637,4.37,91.44,20.23640776699029,309.88,6.95,4.32,0,1,1,1.0,1.0,368
2017,22.0,Connecticut,1.9304,101.6046909,4.4,111.76,17.0,358.14,7.230447266703479,4.399422150882825,0,1,17,1.0,1.0,2247
2011,21.0,Mississippi St.,1.9558,145.6031508,5.18,71.12,23.0,246.38,7.43,4.63,1,5,12,1.0,1.0,1647
2012,21.997016197783463,Louisiana Tech,1.8034,99.33672903,4.67,85.09,21.0,279.4,7.26,4.4,1,0,15,0.0,0.0,2579
2013,24.0,Wisconsin,1.8542,106.1406146,4.75,83.50634934889987,20.23640776699029,291.9857,7.230447266703479,4.399422150882825,0,4,11,0.0,0.0,1307
2017,22.0,Nebraska,1.8796,98.88313666,4.58,77.47,17.0,309.88,7.230447266703479,4.399422150882825,0,1,17,1.0,1.0,1992
2013,21.997016197783463,SMU,1.778,84.36818082,4.56,83.82,15.0,309.88,7.230447266703479,4.399422150882825,0,1,1,0.0,0.0,678
2011,23.0,USC,1.8288,102.965468,4.64,83.50634934889987,20.23640776699029,291.9857,7.230447266703479,4.399422150882825,1,0,5,1.0,0.0,554
2012,21.997016197783463,Purdue,1.8542,100.2439138,4.91,83.50634934889987,20.23640776699029,291.9857,7.230447266703479,4.399422150882825,2,3,8,0.0,0.0,30
2010,22.0,Oklahoma,1.9558,118.3876086,4.72,80.01,20.23640776699029,291.9857,7.230447266703479,4.399422150882825,1,0,18,1.0,1.0,1073
2018,21.997016197783463,Georgia,1.8288,87.54332741,4.764817905918058,83.50634934889987,14.0,291.9857,7.230447266703479,4.399422150882825,0,1,16,0.0,0.0,1599
2019,21.997016197783463,Buffalo,2.0066,112.9445001,4.59,87.63,20.23640776699029,304.8,7.09,4.28,1,0,14,0.0,0.0,1681
2019,21.0,Ohio St.,1.778,95.70799007,4.47,85.09,22.0,291.9857,7.230447266703479,4.399422150882825,1,0,15,1.0,1.0,1436
2019,23.0,Houston,1.8796,94.34721296,4.4,92.71,20.23640776699029,337.82,6.81,4.06,0,1,1,1.0,1.0,1127
2013,21.0,Georgia,1.8796,109.7693535,4.7,85.09,20.0,309.88,7.16,4.39,0,4,11,1.0,1.0,1513
2013,21.0,South Carolina,1.8034,100.2439138,4.65,83.50634934889987,20.23640776699029,291.9857,7.230447266703479,4.399422150882825,1,0,15,1.0,1.0,1874
2016,21.997016197783463,Liberty,1.8542,97.06876718,4.74,83.50634934889987,20.23640776699029,291.9857,7.230447266703479,4.399422150882825,2,3,8,0.0,0.0,211
2013,21.0,North Carolina,1.7272,91.62565874,4.53,85.09,19.0,309.88,6.91,4.12,1,0,15,1.0,1.0,239
2016,23.0,Georgia Tech,1.9304,130.1810102,4.88,83.50634934889987,20.23640776699029,291.9857,7.230447266703479,4.399422150882825,0,2,4,1.0,1.0,1993
2016,22.0,Utah,1.8542,109.3157612,4.8,74.93,19.0,289.56,7.230447266703479,4.52,0,4,7,0.0,1.0,1231
2011,21.0,Pittsburgh,1.905,119.7483857,4.68,78.74,20.23640776699029,292.1,7.230447266703479,4.399422150882825,0,2,3,1.0,1.0,602
2011,24.0,South Carolina,1.9558,143.7887813,5.03,76.2,23.0,289.56,7.6,4.77,1,5,12,0.0,1.0,1584
2010,21.0,Tennessee,1.8288,95.70799007,4.4,109.22,19.0,330.2,6.8,4.23,0,1,6,1.0,1.0,1044
2011,22.0,Georgia Tech,1.8288,82.55381134,4.65,77.47,20.23640776699029,304.8,7.09,4.37,0,1,1,0.0,0.0,1427
2013,22.0,Arizona,1.8796,96.61517481,4.69,78.74,20.23640776699029,299.72,6.69,3.99,1,0,14,0.0,0.0,693
2018,20.0,Alabama,1.905,97.06876718,4.764817905918058,86.36,20.23640776699029,304.8,7.230447266703479,4.399422150882825,0,1,16,1.0,1.0,2405
2009,22.0,Pittsburgh,1.8796,139.70645,5.51,64.77,21.0,223.52,8.09,4.93,1,5,10,0.0,0.0,233
2011,22.0,Stanford,1.8288,112.4909078,4.87,72.39,22.0,259.08,7.1,4.56,1,0,5,1.0,1.0,2610
2010,21.0,Georgia Tech,1.905,120.6555704,4.77,86.36,20.23640776699029,284.48,7.12,4.43,0,2,3,1.0,1.0,464
2015,22.0,Arizona St.,1.8034,88.90410452,4.46,96.52,14.0,304.8,6.83,4.07,0,1,6,1.0,1.0,73
2017,21.0,Texas Tech,1.8796,102.0582833,4.8,76.2,20.23640776699029,289.56,6.88,4.08,1,0,14,1.0,1.0,2382
2009,21.997016197783463,Nebraska,1.8034,97.97595192,4.5,85.09,18.0,289.56,7.1,4.399422150882825,1,0,15,0.0,0.0,1001
2016,24.0,Florida,1.9558,113.3980925,4.83,83.50634934889987,17.0,291.9857,7.230447266703479,4.399422150882825,1,0,18,0.0,1.0,2409
2017,22.0,Arkansas,1.8796,108.8621688,4.79,74.93,18.0,292.1,6.8,4.25,0,4,7,0.0,1.0,2530
2013,21.0,Florida,1.8542,93.89362059,4.58,87.63,20.23640776699029,312.42,6.64,4.1,0,1,6,1.0,1.0,2516
2012,22.0,Clemson,1.9558,149.2318897,5.48,68.58,19.0,231.14,8.13,4.82,1,5,10,0.0,0.0,1614
2017,21.0,Wyoming,1.8542,99.33672903,4.54,86.36,15.0,317.5,7.03,4.32,1,0,15,1.0,1.0,1846
2017,21.0,Houston,1.8034,84.36818082,4.764817905918058,83.50634934889987,10.0,291.9857,7.230447266703479,4.399422150882825,1,0,19,0.0,0.0,1818
2011,22.0,Baylor,1.905,151.4998516,5.09,74.93,31.0,254.0,7.75,4.77,0,2,4,1.0,1.0,1391
2013,23.0,Kansas St.,1.8542,103.8726527,4.55,90.17,20.0,294.64,6.89,4.39,1,0,19,1.0,1.0,2079
2009,21.997016197783463,Utah,1.7272,79.83225712,4.82,83.50634934889987,20.23640776699029,291.9857,7.230447266703479,4.399422150882825,2,3,8,0.0,0.0,1601
2014,21.997016197783463,Florida,1.8034,86.1825503,4.61,90.17,6.0,304.8,7.230447266703479,4.399422150882825,0,1,1,0.0,0.0,2134
2009,22.0,Cincinnati,1.8542,89.81128926,4.48,92.71,16.0,317.5,7.0,4.2,0,1,6,1.0,1.0,1808
2012,21.997016197783463,Clemson,1.905,121.5627552,5.0,77.47,21.0,276.86,7.230447266703479,4.53,0,2,4,0.0,0.0,1106
2012,22.0,Oregon,1.7272,87.99691978,4.35,88.9,15.0,312.42,6.88,4.12,1,0,15,1.0,1.0,354
2011,22.0,North Carolina,1.8542,109.3157612,4.75,86.36,21.0,292.1,7.230447266703479,4.5,0,4,7,1.0,1.0,1771
2012,23.0,Oregon,1.778,95.70799007,4.53,85.09,22.0,294.64,7.12,4.28,0,1,17,0.0,1.0,80
2011,21.997016197783463,Boston Col.,2.032,142.8815966,5.34,83.50634934889987,20.23640776699029,291.9857,7.230447266703479,4.399422150882825,1,5,12,0.0,0.0,772
2010,23.0,Ohio St.,1.8542,91.62565874,4.94,83.50634934889987,20.23640776699029,291.9857,7.230447266703479,4.399422150882825,2,3,8,0.0,0.0,2595
2018,21.0,Oklahoma St.,1.8034,96.61517481,4.54,87.63,14.0,304.8,7.11,4.32,1,0,19,1.0,0.0,1161
2015,23.0,TCU,1.9812,160.1181066,5.55,74.93,20.23640776699029,291.9857,7.230447266703479,4.77,1,5,10,1.0,1.0,1084
2015,20.0,USC,1.9558,136.9848957,4.97,74.93,20.23640776699029,269.24,7.59,4.53,0,2,4,1.0,1.0,1565
2018,21.0,Penn St.,1.8796,91.62565874,4.764817905918058,93.98,15.0,322.58,7.230447266703479,4.32,0,1,16,1.0,1.0,719
2011,22.0,Nevada,1.7526,96.61517481,4.65,87.63,20.0,284.48,6.89,4.18,1,0,15,0.0,0.0,1502
2018,21.0,Fordham,1.7526,92.98643585,4.55,86.36,19.0,309.88,6.79,4.07,1,0,15,1.0,1.0,1939
2010,24.0,West Virginia,1.9558,139.70645,5.11,77.47,19.0,269.24,7.68,4.68,1,5,12,1.0,1.0,2594
2017,21.997016197783463,South Carolina St.,2.0066,150.5926668,4.764817905918058,59.69,22.0,291.9857,7.230447266703479,4.399422150882825,1,5,12,0.0,0.0,1271
2010,21.0,Georgia Tech,1.8542,94.80080533,4.51,83.50634934889987,16.0,291.9857,7.230447266703479,4.399422150882825,0,1,6,1.0,1.0,807
2010,22.0,New Mexico,1.9812,144.2423737,5.55,63.5,19.0,238.76,8.24,4.99,1,5,0,1.0,0.0,533
2010,21.997016197783463,Marshall,1.7526,86.1825503,4.59,90.17,14.0,276.86,7.230447266703479,4.39,1,0,15,0.0,0.0,1990
2011,22.0,Boise St.,1.778,96.16158244,4.51,83.50634934889987,23.0,291.9857,7.230447266703479,4.399422150882825,0,1,17,0.0,1.0,1817
2010,21.0,Florida,1.9812,125.6450865,4.68,80.01,21.0,281.94,7.21,4.61,0,2,3,1.0,1.0,1672
2009,22.0,Clemson,1.905,141.5208194,4.92,77.47,29.0,271.78,8.28,4.84,0,2,4,1.0,1.0,670
2014,24.0,Southern Miss,1.905,137.8920805,5.03,73.66,28.0,284.48,7.83,4.76,0,2,4,1.0,0.0,1298
2015,20.0,Louisville,1.8288,98.88313666,4.62,83.50634934889987,17.0,291.9857,7.230447266703479,4.399422150882825,0,1,6,1.0,1.0,485
2011,22.0,San Diego St.,1.8034,84.82177319,4.68,85.09,12.0,307.34,6.64,4.25,1,0,19,1.0,1.0,1225
2013,20.0,Washington St.,1.905,87.99691978,4.51,87.63,7.0,309.88,6.65,4.33,1,0,19,1.0,0.0,2020
2012,22.0,Southern Miss,1.8796,99.33672903,4.69,78.74,20.23640776699029,276.86,6.73,4.11,1,0,14,0.0,1.0,834
2013,22.0,Notre Dame,1.9558,113.3980925,4.68,90.17,22.0,302.26,6.92,4.32,1,0,18,1.0,1.0,44
2013,22.0,Iowa St.,1.8796,110.2229459,4.84,83.50634934889987,20.23640776699029,291.9857,7.230447266703479,4.399422150882825,0,4,11,0.0,1.0,1091
2014,22.0,Tulane,1.7272,74.38914868,4.76,83.50634934889987,20.23640776699029,291.9857,7.230447266703479,4.399422150882825,2,3,8,0.0,1.0,196
2010,21.0,Washington,1.8542,111.1301307,4.61,83.50634934889987,35.0,291.9857,7.230447266703479,4.399422150882825,0,4,7,1.0,1.0,2266
2015,22.0,William & Mary,1.8288,95.2543977,4.41,96.52,16.0,309.88,6.96,4.08,1,0,19,1.0,1.0,1339
2015,22.0,Alabama,1.8034,98.88313666,4.57,77.47,20.23640776699029,292.1,7.230447266703479,4.399422150882825,1,0,14,0.0,1.0,460
2011,22.0,Purdue,1.9304,121.1091628,4.67,85.09,31.0,309.88,7.18,4.39,0,2,3,1.0,1.0,2406
2013,22.0,TCU,1.8796,116.1196467,4.78,83.50634934889987,30.0,291.9857,7.230447266703479,4.399422150882825,0,2,3,1.0,1.0,2037
2014,23.0,Clemson,1.905,143.7887813,5.09,73.66,35.0,248.92,8.13,4.83,1,5,10,1.0,1.0,1055
2017,22.0,South Alabama,1.905,108.4085764,4.62,95.25,22.0,320.04,6.99,4.33,1,0,18,1.0,0.0,93
2015,21.0,Duke,1.7272,83.91458845,4.56,93.98,10.0,292.1,7.17,4.32,1,0,19,1.0,1.0,282
2015,23.0,Miami (FL),1.9304,113.8516849,4.79,88.9,20.0,304.8,7.32,4.57,1,0,18,1.0,1.0,1979
2018,22.0,Georgia,1.8034,102.965468,4.52,97.79,29.0,325.12,7.09,4.25,1,0,15,1.0,1.0,2721
2009,20.0,Florida,1.8034,87.08973504,4.39,83.50634934889987,19.0,291.9857,7.230447266703479,4.399422150882825,1,0,19,1.0,1.0,2631
2011,23.0,Arkansas St.,1.9558,141.0672271,5.0,64.77,24.0,254.0,7.76,5.0,1,5,12,1.0,1.0,1395
2017,22.0,Ashland,1.9812,126.0986789,4.79,82.55,24.0,307.34,7.09,4.38,1,0,18,1.0,0.0,506
2009,22.0,Buffalo,1.905,97.52235955,4.9,77.47,20.23640776699029,276.86,7.18,4.45,1,0,14,0.0,0.0,1174
2018,23.0,Ohio St.,1.905,112.0373154,4.81,83.82,20.23640776699029,297.18,7.28,4.51,1,0,18,0.0,0.0,907
2014,23.0,Pittsburgh,1.9304,103.4190604,4.97,68.58,20.23640776699029,266.7,7.33,4.36,1,0,14,1.0,1.0,365
2019,22.0,Oklahoma,1.8288,101.6046909,4.764817905918058,83.50634934889987,25.0,291.9857,7.230447266703479,4.399422150882825,1,0,15,1.0,0.0,581
2015,23.0,Newberry,1.905,111.1301307,4.61,93.98,20.0,307.34,7.49,4.38,0,4,11,1.0,0.0,859
2010,21.0,Oklahoma St.,1.8796,102.0582833,4.52,83.50634934889987,20.23640776699029,291.9857,7.230447266703479,4.399422150882825,1,0,19,1.0,1.0,2481
2014,22.0,McNeese St.,1.9558,122.0163475,4.89,83.50634934889987,15.0,291.9857,7.230447266703479,4.399422150882825,1,0,18,0.0,0.0,1429
2018,21.0,Notre Dame,1.8796,96.61517481,4.764817905918058,83.50634934889987,18.0,291.9857,7.230447266703479,4.399422150882825,1,0,15,0.0,1.0,178
2013,21.0,Georgia,1.905,141.9744118,5.06,67.31,30.0,256.54,7.230447266703479,4.399422150882825,0,2,4,0.0,1.0,2067
2013,21.997016197783463,Louisville,1.7526,84.36818082,4.58,83.82,17.0,294.64,6.92,4.25,0,1,1,0.0,0.0,1569
2014,23.0,Georgia,1.9558,117.0268315,4.82,74.93,28.0,294.64,7.38,4.35,1,0,18,1.0,1.0,1309
2016,23.0,Baylor,1.8542,108.8621688,4.95,69.85,20.23640776699029,279.4,7.05,4.38,2,6,9,1.0,1.0,411
2013,20.0,Oklahoma,1.8288,87.99691978,4.38,85.09,16.0,314.96,7.230447266703479,4.35,1,0,19,1.0,1.0,2730
2012,21.0,Temple,1.8542,105.6870222,4.62,93.98,21.0,314.96,7.14,4.37,0,4,11,1.0,1.0,2320
2017,20.0,Texas,1.8288,105.6870222,4.764817905918058,83.50634934889987,18.0,291.9857,7.230447266703479,4.399422150882825,1,0,15,1.0,1.0,2657
2010,23.0,Clemson,1.9304,114.3052772,4.65,86.36,23.0,289.56,7.29,4.41,0,4,11,1.0,1.0,2644
2009,23.0,Alabama,1.8034,92.07925111,4.49,93.98,15.0,304.8,7.09,4.23,0,1,6,1.0,1.0,1187
2019,22.0,Alabama,1.8542,88.45051215,4.764817905918058,83.50634934889987,20.23640776699029,291.9857,7.230447266703479,4.399422150882825,0,1,16,1.0,1.0,2004
2017,22.0,Wisconsin,1.778,99.7903214,4.68,72.39,19.0,292.1,7.230447266703479,4.399422150882825,1,0,15,0.0,0.0,527
2015,21.0,Minnesota,1.8288,111.1301307,4.77,93.98,22.0,302.26,7.21,4.2,0,4,7,1.0,1.0,2482
2017,21.997016197783463,Stanford,1.8288,86.1825503,4.764817905918058,83.50634934889987,20.23640776699029,291.9857,7.230447266703479,4.399422150882825,2,3,8,0.0,0.0,2187
2010,21.997016197783463,Minnesota,1.8796,112.0373154,4.88,86.36,17.0,274.32,7.27,4.4,0,4,7,0.0,0.0,2533
2011,22.0,Washington St.,1.905,140.1600423,5.18,76.2,28.0,261.62,7.54,4.62,1,5,0,0.0,1.0,1134
2012,22.0,Baylor,1.8796,101.1510985,4.33,99.06,20.23640776699029,304.8,7.230447266703479,4.399422150882825,1,0,14,1.0,0.0,70
2018,23.0,Ohio St.,1.9304,138.3456729,4.764817905918058,83.50634934889987,20.23640776699029,291.9857,7.230447266703479,4.399422150882825,1,5,0,1.0,0.0,2694
2018,21.997016197783463,Florida St.,1.9304,111.583723,4.65,97.79,20.23640776699029,309.88,7.230447266703479,4.399422150882825,0,4,11,0.0,0.0,789
2009,21.997016197783463,Michigan,1.8542,109.7693535,5.08,83.50634934889987,14.0,291.9857,7.230447266703479,4.399422150882825,2,6,9,0.0,1.0,471
2009,21.997016197783463,Tennessee St.,1.905,150.5926668,5.22,62.23,29.0,228.6,7.230447266703479,4.399422150882825,1,5,12,0.0,0.0,729
2013,21.0,Utah St.,1.7272,88.45051215,4.48,88.9,17.0,299.72,7.15,4.15,1,0,15,1.0,1.0,56
